periodical_key,year,month,day,volume,issue
LibM,1909,04,01,V04,02
LibM,1909,10,01,V04,04
LibM,1910,07,01,V05,03
LibM,1920,07,01,V14,03
LibM,1908,01,01,V03,01
LibM,1919,07,01,V15,03
LibM,1913,10,01,V08,04
LibM,1913,04,01,V08,02
LibM,1906,07,01,V01,02
LibM,1917,10,01,V12,04
LibM,1917,04,01,V12,02
LibM,1919,01,01,V15,01
LibM,1908,07,01,V03,03
LibM,1920,01,01,V14,01
LibM,1910,01,01,V05,01
LibM,1916,04,01,V11,02e
LibM,1916,01,01,V11,01
LibM,1912,07,01,V07,03
LibM,1914,07,01,V09,03
LibM,1916,01,01,V11,01e
LibM,1918,01,01,V13,01
LibM,1911,04,01,V06,02
LibM,1911,10,01,V06,04
LibM,1914,01,01,V09,01
LibM,1915,04,01,V10,02
LibM,1915,10,01,V10,04
LibM,1918,07,01,V13,03
LibM,1907,04,01,V02,02
LibM,1907,10,01,V02,04
LibM,1912,01,01,V07,01
LibM,1916,07,01,V11,03
LibM,1907,01,01,V02,01
LibM,1912,04,01,V07,02
LibM,1912,10,01,V07,04
LibM,1914,04,01,V09,02
LibM,1914,10,01,V09,04
LibM,1911,07,01,V06,03
LibM,1915,01,01,V10,01
LibM,1915,07,01,V10,03
LibM,1911,01,01,V06,01
LibM,1918,04,01,V13,02
LibM,1918,10,01,V13,04
LibM,1916,04,01,V11,02
LibM,1916,10,01,V11,04
LibM,1907,07,01,V02,03
LibM,1909,07,01,V04,03
LibM,1906,10,01,V01,03
LibM,1910,10,01,V05,04
LibM,1910,04,01,V05,02
LibM,1919,10,01,V15,04
LibM,1919,04,01,V15,02
LibM,1920,10,01,V14,04
LibM,1920,04,01,V14,02
LibM,1913,07,01,V08,03
LibM,1917,01,01,V12,01
LibM,1917,07,01,V12,03
LibM,1913,01,01,V08,01
LibM,1909,01,01,V04,01
LibM,1908,10,01,V03,04
LibM,1908,04,01,V03,02
LibM,1906,04,01,V01,01
